Family,TargetReferenceSpeed,LoadIndex,EpisodeCount,PositiveEpisodeCount,PositiveEpisodeFraction,EligibleStepCount,PositiveStepCount,PositiveEligibleFraction,PositiveOnsetCount
smooth_waypoints,12,3,23,12,0.521739130434783,3944,348,0.0882352941176471,30
spatial_helix,0.5,1,22,7,0.318181818181818,3723,141,0.0378726833199033,8
spatial_helix,0.5,2,22,7,0.318181818181818,3864,135,0.0349378881987578,9
spatial_helix,0.5,3,23,8,0.347826086956522,4071,142,0.0348808646524196,11
spatial_helix,1,1,23,3,0.130434782608696,4034,67,0.0166088249876054,3
spatial_helix,1,2,22,8,0.363636363636364,3875,201,0.0518709677419355,12
spatial_helix,1,3,23,8,0.347826086956522,4071,138,0.0338983050847458,11
spatial_helix,2,1,23,5,0.217391304347826,3980,124,0.0311557788944724,9
spatial_helix,2,2,23,5,0.217391304347826,4016,146,0.0363545816733068,8
spatial_helix,2,3,21,14,0.666666666666667,3692,429,0.116197183098592,76
spatial_helix,4,1,23,4,0.173913043478261,4071,57,0.0140014738393515,4
spatial_helix,4,2,23,7,0.304347826086957,4066,68,0.0167240531234629,7
spatial_helix,4,3,22,7,0.318181818181818,3883,149,0.0383723924800412,14
spatial_helix,6,1,22,5,0.227272727272727,3816,90,0.0235849056603774,7
spatial_helix,6,2,23,6,0.260869565217391,4071,78,0.0191599115696389,8
spatial_helix,6,3,23,9,0.391304347826087,3847,191,0.0496490772030153,18
spatial_helix,8,1,21,7,0.333333333333333,3691,140,0.0379301002438364,8
spatial_helix,8,2,23,4,0.173913043478261,4071,74,0.0181773520019651,6
spatial_helix,8,3,23,9,0.391304347826087,3900,175,0.0448717948717949,16
spatial_helix,10,1,23,6,0.260869565217391,4071,108,0.0265291083271923,6
spatial_helix,10,2,22,7,0.318181818181818,3876,148,0.0381836945304438,10
spatial_helix,10,3,23,4,0.173913043478261,4068,54,0.0132743362831858,7
spatial_helix,12,1,23,6,0.260869565217391,4006,136,0.0339490763854219,9
spatial_helix,12,2,22,5,0.227272727272727,3894,78,0.0200308166409861,5
spatial_helix,12,3,22,7,0.318181818181818,3688,151,0.040943600867679,13
vertical_circle,0.5,1,23,6,0.260869565217391,3971,139,0.0350037773860489,6
vertical_circle,0.5,2,23,9,0.391304347826087,4071,161,0.0395480225988701,15
vertical_circle,0.5,3,22,6,0.272727272727273,3869,115,0.0297234427500646,8
vertical_circle,1,1,21,7,0.333333333333333,3634,175,0.0481563015960374,10
vertical_circle,1,2,23,9,0.391304347826087,3903,251,0.0643095055085831,18
vertical_circle,1,3,23,8,0.347826086956522,4071,276,0.0677966101694915,21
vertical_circle,2,1,22,7,0.318181818181818,3846,123,0.03198127925117,8
vertical_circle,2,2,23,9,0.391304347826087,4027,430,0.106779240129128,25
vertical_circle,2,3,23,23,1,3733,1315,0.352263594963836,145
vertical_circle,4,1,23,8,0.347826086956522,3916,172,0.0439223697650664,9
vertical_circle,4,2,22,11,0.5,3801,358,0.0941857405945804,22
vertical_circle,4,3,23,12,0.521739130434783,3843,476,0.123861566484517,37
vertical_circle,6,1,23,9,0.391304347826087,3940,161,0.0408629441624365,13
vertical_circle,6,2,21,11,0.523809523809524,3470,308,0.0887608069164265,21
vertical_circle,6,3,23,11,0.478260869565217,3770,427,0.113262599469496,22
vertical_circle,8,1,23,7,0.304347826086957,4026,145,0.0360158966716344,7
vertical_circle,8,2,23,12,0.521739130434783,3903,372,0.0953112990007686,14
vertical_circle,8,3,22,12,0.545454545454545,3577,355,0.099245177523064,16
vertical_circle,10,1,22,6,0.272727272727273,3890,104,0.0267352185089974,9
vertical_circle,10,2,23,8,0.347826086956522,4020,149,0.0370646766169154,10
vertical_circle,10,3,22,10,0.454545454545455,3729,294,0.0788415124698311,10
vertical_circle,12,1,23,6,0.260869565217391,3960,172,0.0434343434343434,10
vertical_circle,12,2,22,9,0.409090909090909,3610,342,0.0947368421052632,15
vertical_circle,12,3,22,8,0.363636363636364,3810,195,0.0511811023622047,10

