Warning: truncated output (original token count: 108069)
Total output lines: 1538

CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,HardEventStepCount,HardEventEligibleFraction,HardEventOnsetCount,HardEventEpisodeCount,HardEventEpisodeFraction,HardEventCellCount,HardEventFamilyCount,GrowthOnlyEpisodeCount,GrowthOnlyCellCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,PositionForecastPositiveCount,AttitudeForecastPositiveCount,VelocityForecastPositiveCount,BodyRateForecastPositiveCount,ConstraintForecastPositiveCount,SaturationForecastPositiveCount,NonfiniteForecastPositiveCount,FirstPositionEventCount,FirstAttitudeEventCount,FirstVelocityEventCount,FirstBodyRateEventCount,FirstConstraintEventCount,FirstSaturationEventCount,FirstNonfiniteEventCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C017,0.1,5,0.3,3,2,3,477900,466741,0.976649926762921,15532,0.0325005231219921,0.0332775565034998,1346,679,0.251481481481481,106,5,7672,0.0164373817599054,582,246,0.0911111111111111,84,5,598,92,7240,802,4407,3437,258,233,461,359,0,4088,3021,118,10,395,297,0,7860,14.6791140870461,20,20
C018,0.1,5,0.3,3,2,5,477900,466741,0.976649926762921,15362,0.032144800167399,0.0329133288054831,1263,674,0.24962962962963,103,5,7672,0.0164373817599054,582,246,0.0911111111111111,84,5,586,85,7240,802,4407,3437,258,233,461,359,0,4088,3021,118,10,395,297,0,7690,14.6202317406588,20,20
C019,0.1,5,0.3,4,1.25,3,477900,466745,0.976658296714794,29132,0.0609583594894329,0.0624152374422865,2358,990,0.366666666666667,117,5,7675,0.0164436683842355,583,246,0.0911111111111111,84,5,949,112,7243,802,4407,3440,258,36,461,359,0,4088,3034,118,0,395,297,0,21457,17.1618838390773,20,20
C020,0.1,5,0.3,4,1.25,5,477900,466745,0.976658296714794,27640,0.0578363674408872,0.0592186311583413,2069,968,0.358518518518519,113,5,7675,0.0164436683842355,583,246,0.0911111111111111,84,5,917,105,7243,802,4407,3440,258,36,461,359,0,4088,3034,118,0,395,297,0,19965,17.0086830680174,20,20
C021,0.1,5,0.3,4,1.5,3,477900,466745,0.976658296714794,22587,0.047263025737602,0.0483925912436127,1999,907,0.335925925925926,114,5,7675,0.0164436683842355,583,246,0.0911111111111111,84,5,852,104,7243,802,4407,3440,258,36,461,359,0,4088,3034,118,0,395,297,0,14912,16.3394873157126,20,20
C022,0.1,5,0.3,4,1.5,5,477900,466745,0.976658296714794,22003,0.0460410127641766,0.0471413726981542,1785,896,0.331851851851852,111,5,7675,0.0164436683842355,583,246,0.0911111111111111,84,5,833,97,7243,802,4407,3440,258,36,461,359,0,4088,3034,118,0,395,297,0,14328,16.242330591283,20,20
C023,0.1,5,0.3,4,2,3,477900,466745,0.976658296714794,15511,0.03245658087466,0.0332322788674758,1343,674,0.24962962962963,105,5,7675,0.0164436683842355,583,246,0.0911111111111111,84,5,593,91,7243,802,4407,3440,258,36,461,359,0,4088,3034,118,0,395,297,0,7836,14.6695893237058,20,20
C024,0.1,5,0.3,4,2,5,477900,466745,0.976658296714794,15324,0.0320652856246077,0.032831631833228,1250,667,0.247037037037037,101,5,7675,0.0164436683842355,583,246,0.0911111111111111,84,5,578,81,7243,802,4407,3440,258,36,461,359,0,4088,3034,118,0,395,297,0,7649,14.6045418950666,20,20
C025,0.1,5,0.5,1,1.25,3,477900,465928,0.974948734044779,34064,0.0712785101485666,0.0731100084133171,2877,1066,0.394814814814815,123,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,1016,116,12197,764,4375,3229,10,7371,461,321,0,3978,1849,0,6745,395,77,0,21807,16.1257045561296,20,20
C026,0.1,5,0.5,1,1.25,5,477900,465928,0.974948734044779,32644,0.0683071772337309,0.0700623272265243,2607,1051,0.389259259259259,118,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,987,108,12197,764,4375,3229,10,7371,461,321,0,3978,1849,0,6745,395,77,0,20387,15.9571743658865,20,20
