Family,TargetReferenceSpeed,LoadIndex,EpisodeCount,PositiveEpisodeCount,PositiveEpisodeFraction,EligibleStepCount,PositiveStepCount,PositiveEligibleFraction,PositiveOnsetCount
smooth_waypoints,12,3,23,10,0.434782608695652,3944,319,0.0808823529411765,29
spatial_helix,0.5,1,22,5,0.227272727272727,3723,91,0.0244426537738383,5
spatial_helix,0.5,2,22,5,0.227272727272727,3864,100,0.025879917184265,6
spatial_helix,0.5,3,23,8,0.347826086956522,4071,116,0.0284942274625399,8
spatial_helix,1,1,23,5,0.217391304347826,4034,66,0.0163609320773426,5
spatial_helix,1,2,22,6,0.272727272727273,3875,148,0.0381935483870968,9
spatial_helix,1,3,23,6,0.260869565217391,4071,97,0.0238270695160894,7
spatial_helix,2,1,23,5,0.217391304347826,3980,99,0.0248743718592965,7
spatial_helix,2,2,23,5,0.217391304347826,4016,92,0.0229083665338645,5
spatial_helix,2,3,21,10,0.476190476190476,3717,183,0.0492332526230831,41
spatial_helix,4,1,23,3,0.130434782608696,4071,43,0.0105625153524932,3
spatial_helix,4,2,23,3,0.130434782608696,4066,51,0.0125430398425971,3
spatial_helix,4,3,22,4,0.181818181818182,3894,114,0.0292758089368259,6
spatial_helix,6,1,22,4,0.181818181818182,3816,83,0.0217505241090147,5
spatial_helix,6,2,23,4,0.173913043478261,4071,49,0.0120363547040039,4
spatial_helix,6,3,23,5,0.217391304347826,3851,117,0.0303817190340171,9
spatial_helix,8,1,21,6,0.285714285714286,3691,117,0.031698726632349,7
spatial_helix,8,2,23,2,0.0869565217391304,4071,42,0.0103168754605748,2
spatial_helix,8,3,23,6,0.260869565217391,3902,93,0.0238339313172732,10
spatial_helix,10,1,23,4,0.173913043478261,4071,83,0.0203881110292311,4
spatial_helix,10,2,22,6,0.272727272727273,3876,121,0.0312177502579979,6
spatial_helix,10,3,23,3,0.130434782608696,4071,40,0.0098255956767379,3
spatial_helix,12,1,23,6,0.260869565217391,4006,106,0.0264603095356965,6
spatial_helix,12,2,22,4,0.181818181818182,3894,66,0.0169491525423729,4
spatial_helix,12,3,22,5,0.227272727272727,3691,122,0.0330533730696288,8
vertical_circle,0.5,1,23,5,0.217391304347826,3971,129,0.0324855200201461,5
vertical_circle,0.5,2,23,7,0.304347826086957,4071,112,0.0275116678948661,7
vertical_circle,0.5,3,22,5,0.227272727272727,3869,95,0.024554148358749,6
vertical_circle,1,1,21,6,0.285714285714286,3634,150,0.0412768299394606,8
vertical_circle,1,2,23,8,0.347826086956522,3903,206,0.0527799128875224,16
vertical_circle,1,3,23,6,0.260869565217391,4071,239,0.058707934168509,18
vertical_circle,2,1,22,5,0.227272727272727,3846,101,0.0262610504420177,5
vertical_circle,2,2,23,8,0.347826086956522,4029,384,0.0953090096798213,23
vertical_circle,2,3,23,23,1,3586,2349,0.655047406581149,177
vertical_circle,4,1,23,6,0.260869565217391,3916,151,0.0385597548518897,7
vertical_circle,4,2,22,9,0.409090909090909,3801,308,0.0810313075506446,17
vertical_circle,4,3,23,12,0.521739130434783,3865,474,0.122639068564036,33
vertical_circle,6,1,23,8,0.347826086956522,3940,138,0.0350253807106599,8
