CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C028,0.1,10,0.3,1,1.5,5,477900,466482,0.976107972379159,24245,0.050732370788868,0.0519741383375993,2029,808,0.299259259259259,113,5,12094,780,12090,14.5745926995257,20,20
C029,0.1,10,0.3,1,2,3,477900,466482,0.976107972379159,17831,0.0373111529608705,0.0382244116600426,1710,601,0.222592592592593,113,5,12094,780,5676,12.6230160955639,14,20
C030,0.1,10,0.3,1,2,5,477900,466482,0.976107972379159,17637,0.0369052102950408,0.0378085328051243,1601,586,0.217037037037037,110,5,12094,780,5482,12.5418722004876,13,20
C031,0.1,10,0.5,1,1.25,3,477900,466647,0.976453232893911,31836,0.06661644695543,0.0682228751068795,2608,986,0.365185185185185,120,5,11909,781,19866,15.9571240105541,20,20
C032,0.1,10,0.5,1,1.25,5,477900,466647,0.976453232893911,30591,0.0640112994350282,0.0655549055281615,2349,967,0.358148148148148,116,5,11909,781,18621,15.792586054722,20,20
C033,0.1,10,0.5,1,1.5,3,477900,466647,0.976453232893911,24493,0.0512513078049801,0.0524872119610755,2186,846,0.313333333333333,118,5,11909,781,12523,14.7450700200057,20,20
C034,0.1,10,0.5,1,1.5,5,477900,466647,0.976453232893911,24037,0.0502971332914836,0.0515100279226053,2012,834,0.308888888888889,114,5,11909,781,12067,14.6453800391064,20,20
C035,0.1,10,0.5,1,2,3,477900,466647,0.976453232893911,17576,0.036777568528981,0.0376644444301581,1670,594,0.22,110,5,11909,781,5606,12.6770027309968,14,20
C036,0.1,10,0.5,1,2,5,477900,466647,0.976453232893911,17358,0.0363214061519146,0.0371972818854509,1553,584,0.216296296296296,107,5,11909,781,5388,12.5850328378845,14,20
C037,0.1,10,0.75,1,1.25,3,477900,466648,0.976455325381879,31795,0.066530654948734,0.0681348682518729,2635,997,0.369259259259259,120,5,11910,781,19824,15.95134455103,20,20
C038,0.1,10,0.75,1,1.25,5,477900,466648,0.976455325381879,30571,0.0639694496756644,0.0655119061905333,2358,979,0.362592592592593,115,5,11910,781,18600,15.789244709038,20,20
C039,0.1,10,0.75,1,1.5,3,477900,466648,0.976455325381879,24561,0.0513935969868173,0.0526328195984982,2209,860,0.318518518518519,119,5,11910,781,12590,14.7588860388421,20,20
C040,0.1,10,0.75,1,1.5,5,477900,466648,0.976455325381879,24077,0.0503808328102113,0.0515956352539816,2022,847,0.313703703703704,113,5,11910,781,12106,14.653528263488,20,20
