CaseIndex,Family,LoadName,TargetSpeed,AccelerationTarget,GeometryScale,PeakSpeed,SpeedRelativeError,PeakAcceleration,AccelerationRelativeError,PeakHorizontalAcceleration,PeakTiltDeg,PeakThrustFraction,PeakMomentFraction,PeakInputFraction,PeakBodyRate,MinimumCosPitch,DynamicResidualP95,DynamicResidualMax,StateBoundViolation,PhysicalFeasible,RobustTrainCandidate
40,lemniscate,mild,8,2,32,8,1.11022302462516e-16,2.09802377990684,0.0490118899534187,2.09802377990684,12.0611055831973,0.255643245913443,0.00304981845566479,0.255643245913443,0.0836128215433336,0.989885400735056,0.000331174651526324,0.000341449713004536,-1.01093555812939,1,1
41,lemniscate,moderate,8,5,12.8,8,1.11022302462516e-16,5.24338911769214,0.0486778235384275,5.24338911769214,28.1328357264268,0.283492743188495,0.0188036122551267,0.283492743188495,0.522422542951991,0.941408002914877,0.00209537819494282,0.00213929106456546,-0.727457484964357,1,1
42,lemniscate,hard,8,9,7.11111111111111,8,0,9.43037613187254,0.0478195702080598,9.43037613187254,43.8754771851622,0.346813837208079,0.0586616353484278,0.346813837208079,1.68314723491477,0.84048299666625,0.00739767587413879,0.0076548538818642,-0.446982767350619,1,1
43,lemniscate,mild,10,2,50,10,1.77635683940025e-16,2.09801987638942,0.0490099381947116,2.09801987638942,12.0586965520777,0.255640949478997,0.00244151992119681,0.255640949478997,0.0669143496165203,0.989884986029015,0.000268062401312328,0.000273337476965935,-1.01097670767309,1,1
44,lemniscate,moderate,10,5,20,10,1.77635683940025e-16,5.24412990078875,0.0488259801577493,5.24412990078875,28.1383364029526,0.283507297655731,0.0151227763813593,0.283507297655731,0.418114585674427,0.941403498343661,0.00168809063442543,0.00171072511110317,-0.727382385496285,1,1
45,lemniscate,hard,10,9,11.1111111111111,10,1.77635683940025e-16,9.43438596356413,0.0482651070626812,9.43438596356413,43.8855989702243,0.34687276127565,0.0477150720244204,0.34687276127565,1.34959695498453,0.840449335843551,0.00558831490977852,0.00572692137650486,-0.446742955476755,1,1
46,lemniscate,mild,12,2,72,12,1.48029736616688e-16,2.0980926416388,0.0490463208193996,2.0980926416388,12.0561884820717,0.255638559158691,0.00203535345288615,0.255638559158691,0.0557728569479172,0.990303908916358,0.000224804526029846,0.000227861705330682,-1.01102249666628,1,1
47,lemniscate,moderate,12,5,28.8,12,0,5.24439968053848,0.0488799361076966,5.24439968053848,28.1413462304886,0.283515263221482,0.0126419946981893,0.283515263221482,0.348509085379869,0.941401012361273,0.00141220242259586,0.00142540345328878,-0.727334068962784,1,1
48,lemniscate,hard,12,9,16,12,1.48029736616688e-16,9.43569984334503,0.0484110937050036,9.43569984334503,43.8903410769826,0.346900378107971,0.0401242886289195,0.346900378107971,1.12660443707987,0.840421142507041,0.00453771163664567,0.00469398276306122,-0.446576054516608,1,1
49,vertical_circle,mild,0.5,0.2,1.25,0.5,0,0.199996666683333,1.66665833332968e-05,0.199986666933331,1.16811747988149,0.253835357583507,0.000224059279026901,0.253835357583507,0.00832336307819542,0.999792182200354,3.33326666779221e-05,3.33326666803358e-05,-1.201342980322,1,1
